freq_Hz,Sdd11_re,Sdd11_im,Sdd21_re,Sdd21_im,Sdc11_re,Sdc11_im,Scc11_re,Scc11_im
1.496312500000000000e+10,2.799648221391986547e-01,-8.922836505778582172e-02,-3.976045597688869782e-01,-6.700888753251682539e-01,2.003120849952869445e-02,1.482573758246093741e-02,2.706490930641526349e-01,-5.957672487006072937e-02
1.521250000000000000e+10,2.554899419677877925e-01,-9.643099523951521868e-02,-4.836360402841156647e-01,-6.111241347843030525e-01,2.403202748106716274e-02,8.935403612241703264e-03,2.630650280149436360e-01,-3.220054904972068782e-02
1.546187500000000000e+10,2.308959458449746927e-01,-9.788231905681674117e-02,-5.637076128244701279e-01,-5.407871783615170180e-01,2.621979895004600963e-02,2.254940390612692781e-03,2.663096260642187629e-01,-3.944420273421074541e-03
1.571125000000000000e+10,2.065633837748518387e-01,-9.405611249558629150e-02,-6.354054884836852768e-01,-4.582707461119889247e-01,2.629132987181501471e-02,-4.908972986228762880e-03,2.794172203264971843e-01,2.090910643283563214e-02
1.596062500000000000e+10,1.829088218019664369e-01,-8.448215548523314855e-02,-6.957034538047626171e-01,-3.642715048771277830e-01,2.392425892590088407e-02,-1.176895933156102761e-02,2.998468883444745381e-01,3.943843475250466413e-02
1.621000000000000000e+10,1.613554236960671184e-01,-6.843360761356817590e-02,-7.420503691683686398e-01,-2.605688077205451370e-01,1.934399796419793149e-02,-1.732118122744354463e-02,3.246685074755400469e-01,5.017037535900568945e-02
1.645937500000000000e+10,1.441805079643473930e-01,-4.596383092177404317e-02,-7.723888495109476615e-01,-1.494132439463435325e-01,1.324832440516587363e-02,-2.083441422585564223e-02,3.510187985342594352e-01,5.268334331061863551e-02
1.670875000000000000e+10,1.337662260818495152e-01,-1.833917754896448316e-02,-7.849717478041641217e-01,-3.352350537013754073e-02,6.496470216627612398e-03,-2.197793979797295350e-02,3.762640338505651161e-01,4.742936446128558775e-02
1.695812500000000000e+10,1.318810810637716102e-01,1.209177385349722092e-02,-7.785502175884665421e-01,8.376306906048099077e-02,-7.576041884313749336e-05,-2.074459840059311028e-02,3.982159004153020265e-01,3.561215214831611048e-02
1.720750000000000000e+10,1.392355189753840539e-01,4.234255855750339304e-02,-7.527167183837469855e-01,1.985921443269851872e-01,-5.736620332605488724e-03,-1.736271613106490572e-02,4.153581641861966989e-01,1.896488342628896429e-02
1.745687500000000000e+10,1.552871544705517193e-01,6.937394841719410343e-02,-7.081886636005825242e-01,3.069678683806658648e-01,-9.858324727455691078e-03,-1.223101153823078283e-02,4.269092653055027164e-01,-5.615942104572474447e-04
1.770625000000000000e+10,1.784118100980219279e-01,9.065004077107532976e-02,-6.467863915081213388e-01,4.052042744411079589e-01,-1.193534076273428807e-02,-5.902375477514148518e-03,4.327937418620501075e-01,-2.107834034032584833e-02
1.795562500000000000e+10,2.062835967463284848e-01,1.045148398344083601e-01,-5.712250798915825545e-01,4.902921795810862848e-01,-1.161435347039976862e-02,9.183026171271186852e-04,4.334976819842492057e-01,-4.098550863990319676e-02
1.820500000000000000e+10,2.363526506081627121e-01,1.103209742134407811e-01,-4.848084119524148639e-01,5.601123085748638264e-01,-8.760252822137428938e-03,7.386589254924946432e-03,4.298602072442511690e-01,-5.910985843793084560e-02
1.845437500000000000e+10,2.662947379264086201e-01,1.083318530090030679e-01,-3.911379418187917456e-01,6.135215991287790160e-01,-3.550098829723198797e-03,1.257855490365537149e-02,4.228397115374188386e-01,-7.472412488022406318e-02
1.870375000000000000e+10,2.942773807513887063e-01,9.935937367358303740e-02,-2.937514767654374470e-01,6.503248462032915622e-01,3.469245987174481623e-03,1.563779594247661359e-02,4.133171815818570960e-01,-8.748358611644801996e-02
1.895312500000000000e+10,3.190853641771507765e-01,8.449307049454095331e-02,-1.959859461226462207e-01,6.712729226491642720e-01,1.137968032441276367e-02,1.596096888420272739e-02,4.019921829790816803e-01,-9.721766273573566319e-02
1.920250000000000000e+10,3.399209779086810324e-01,6.470734905715151697e-02,-1.005465348810020976e-01,6.778924517663448279e-01,1.907209330330273539e-02,1.338243046335238495e-02,3.894080865089669663e-01,-1.037325299975724729e-01
1.945187500000000000e+10,3.561627895129966803e-01,4.076207385329858740e-02,-9.338878253985216649e-03,6.722730742140724525e-01,2.546923151100554880e-02,8.238271229641729379e-03,3.761425210622567628e-01,-1.067634173367193740e-01
1.970125000000000000e+10,3.670533578509888040e-01,1.331485938791806753e-02,7.674735011495928405e-02,6.566320387620231402e-01,2.978358300779231430e-02,1.258602304549589698e-03,3.629654889200481516e-01,-1.060000487737138009e-01
