freq_Hz,S11_dB,S21_dB
6.702793750000000000e+08,-1.538017890575265056e+01,-1.382867972367305964e-01
6.746537500000000000e+08,-1.533420396037144862e+01,-1.394404874837759101e-01
6.790281250000000000e+08,-1.528856432306050195e+01,-1.405600456254194608e-01
6.834025000000000000e+08,-1.524325502520051856e+01,-1.416470290791512210e-01
6.877768750000000000e+08,-1.519827131407929599e+01,-1.427031326266637035e-01
6.921512500000000000e+08,-1.515360864708870636e+01,-1.437301799980700567e-01
6.965256250000000000e+08,-1.510926268542307582e+01,-1.447301150175771545e-01
7.009000000000000000e+08,-1.506522928730705146e+01,-1.457049923512498957e-01
7.052743750000000000e+08,-1.502150450078115185e+01,-1.466569678985273351e-01
7.096487500000000000e+08,-1.497808455607742495e+01,-1.475882888699948103e-01
7.140231250000000000e+08,-1.493496585761634776e+01,-1.485012835948250065e-01
7.183975000000000000e+08,-1.489214497565976458e+01,-1.493983511017067389e-01
7.227718750000000000e+08,-1.484961863765403223e+01,-1.502819505176882786e-01
7.271462500000000000e+08,-1.480738371929996333e+01,-1.511545903294523874e-01
7.315206250000000000e+08,-1.476543723538596709e+01,-1.520188175519018303e-01
7.358950000000000000e+08,-1.472377633042192890e+01,-1.528772068486211055e-01
7.402693750000000000e+08,-1.468239826911220014e+01,-1.537323496488163799e-01
7.446437500000000000e+08,-1.464130042670580067e+01,-1.545868433047873358e-01
7.490181250000000000e+08,-1.460048027926267622e+01,-1.554432803336687485e-01
7.533925000000000000e+08,-1.455993539387483438e+01,-1.563042377863109456e-01
7.577668750000000000e+08,-1.451966341888057777e+01,-1.571722667854788258e-01
7.621412500000000000e+08,-1.447966207411081641e+01,-1.580498822745725340e-01
7.665156250000000000e+08,-1.443992914120484272e+01,-1.589395530168220549e-01
7.708900000000000000e+08,-1.440046245403319247e+01,-1.598436918838109788e-01
7.752643750000000000e+08,-1.436125988926415076e+01,-1.607646464705947131e-01
7.796387500000000000e+08,-1.432231935710952264e+01,-1.617046900732611592e-01
7.840131250000000000e+08,-1.428363879228444233e+01,-1.626660130629953849e-01
7.883875000000000000e+08,-1.424521614521443702e+01,-1.636507146888657727e-01
7.927618750000000000e+08,-1.420704937352214436e+01,-1.646607953397534463e-01
7.971362500000000000e+08,-1.416913643382392785e+01,-1.656981492934660183e-01
8.015106250000000000e+08,-1.413147527386563240e+01,-1.667645579792707000e-01
8.058850000000000000e+08,-1.409406382502464972e+01,-1.678616837774929149e-01
