freq_Hz,S11_dB,S21_dB
9.852343750000000000e+08,-1.274446340631923391e+01,-2.453365926579028633e-01
9.896087500000000000e+08,-1.271493429670122843e+01,-2.474104026582533977e-01
9.939831250000000000e+08,-1.268551013886071388e+01,-2.494640323068783583e-01
9.983575000000000000e+08,-1.265618772632336508e+01,-2.514964877920335407e-01
1.002731875000000000e+09,-1.262696395148881123e+01,-2.535069086197250243e-01
1.007106250000000000e+09,-1.259783580831726724e+01,-2.554945702262113039e-01
1.011480625000000000e+09,-1.256880039457751863e+01,-2.574588859611936509e-01
1.015855000000000000e+09,-1.253985491365090255e+01,-2.593994084408495771e-01
1.020229375000000000e+09,-1.251099667588823117e+01,-2.613158302728708082e-01
1.024603750000000000e+09,-1.248222309951879083e+01,-2.632079841582460333e-01
1.028978125000000000e+09,-1.245353171111312918e+01,-2.650758423773952321e-01
1.033352500000000000e+09,-1.242492014560253466e+01,-2.669195156707313554e-01
1.037726875000000000e+09,-1.239638614586136356e+01,-2.687392515263808401e-01
1.042101250000000000e+09,-1.236792756185954190e+01,-2.705354318901496691e-01
1.046475625000000000e+09,-1.233954234939471206e+01,-2.723085703152446913e-01
1.050850000000000000e+09,-1.231122856841572677e+01,-2.740593085714126964e-01
1.055224375000000000e+09,-1.228298438095056255e+01,-2.757884127353043557e-01
1.059598750000000000e+09,-1.225480804865361506e+01,-2.774967687859682952e-01
1.063973125000000000e+09,-1.222669792998892113e+01,-2.791853777309614149e-01
1.068347500000000000e+09,-1.219865247706751710e+01,-2.808553502906636634e-01
1.072721875000000000e+09,-1.217067023215829380e+01,-2.825079011696920439e-01
1.077096250000000000e+09,-1.214274982389331470e+01,-2.841443429458206382e-01
1.081470625000000000e+09,-1.211488996318939648e+01,-2.857660796082184818e-01
1.085845000000000000e+09,-1.208708943890935217e+01,-2.873745997778516803e-01
1.090219375000000000e+09,-1.205934711328678333e+01,-2.889714696438958619e-01
1.094593750000000000e+09,-1.203166191713929756e+01,-2.905583256509036705e-01
1.098968125000000000e+09,-1.200403284489610556e+01,-2.921368669721528533e-01
1.103342500000000000e+09,-1.197645894946578693e+01,-2.937088478049895146e-01
1.107716875000000000e+09,-1.194893933697147759e+01,-2.952760695245614797e-01
1.112091250000000000e+09,-1.192147316138010282e+01,-2.968403727323416508e-01
1.116465625000000000e+09,-1.189405961905325526e+01,-2.984036292360318088e-01
1.120840000000000000e+09,-1.186669794324687821e+01,-2.999677339971922874e-01
1.125214375000000000e+09,-1.183938739858734479e+01,-3.015345970827885691e-01
1.129588750000000000e+09,-1.181212727555083219e+01,-3.031061356563676257e-01
